FtpServer,4380432.478579778,416,213,2011-04-21 07:00:07,-11,57,0,1,True,-3,60,5,0,,-1,,45016,79,1084,0.02929860905593371,59.71,21,0,0,6,12.512358563111063,149,2003-03-29,2007-12-18,12,https://github.com/apache/FtpServer
Geode,3973503.7176498156,9126,5240,2015-04-30 07:00:05,-566,684,55,3,False,15,223,38,561,,49320,,13785,1810,11482,0.02425738171469228,22.39,0,8,73,179,16.539515379666913,1599,2015-04-27,2016-11-16,12,https://github.com/apache/Geode
Geronimo,5353122.073008941,646,90,2009-07-01 08:09:43,216,22,0,4,True,-2,70,0,0,,-1,,6186,1082,15550,0.002156340654169422,25.16,0,4,10,60,19.08079888683134,350,2003-08-06,2004-05-26,12,https://github.com/apache/Geronimo
Giraph,1298573.5597413937,1674,1533,2011-08-28 07:00:33,-5,299,0,4,True,-1,85,5,0,,-1,,39915,9,1165,0.020250723240115717,18.25,42,0,2,19,7.487871757013289,179,2011-08-01,2012-05-16,12,https://github.com/apache/Giraph
Gobblin,1098363.107780876,2223,5162,2014-12-01 18:10:50,273,746,-130,10,False,-13,223,79,346,,1097,,72080,325,6119,0.005651288448676231,48.95,41,0,0,14,8.002346366990322,245,2017-02-23,2021-01-20,12,https://github.com/apache/Gobblin
Gora,8514490.679457834,421,351,2014-05-19 07:00:07,-16,119,0,5,False,2,40,4,146,,64072,,63300,386,1242,0.018000669792364365,32.07,33,0,0,5,15.517833301544917,185,2010-09-26,2012-01-15,12,https://github.com/apache/Gora
Griffin,3495791.242364961,716,2820,2017-02-15 08:00:06,-64,588,43,5,False,12,94,26,545,,49903,,59963,252,864,0.004185424873382105,25.33,5,0,1,1,19.287151480310435,102,2016-12-05,2018-11-21,12,https://github.com/apache/Griffin
Groovy,11021579.950147426,1563,12146,2015-04-16 07:00:05,139,1868,52,5,False,-5,302,15,10288,,48411,,43412,749,37570,0.034280485229592435,98.22,0,9,26,39,5.842585959885387,340,2015-03-17,2015-11-18,12,https://github.com/apache/Groovy
incubator-Guacamole,3919637.179717367,1374,2,2016-02-11 08:00:06,Commits missing,0,PRs missing,0,Commits missing,Commits missing,Commits or Issues or PRs missing,Commits missing,PRs or commits missing,,PRs missing,,PRs missing,Commits missing,Commits missing,0,0.0,0,0,0,0,NaN,0,2016-02-10,2017-11-15,12,https://github.com/apache/incubator-Guacamole
HAWQ,1500340.8587483051,8207,1721,2015-09-05 07:00:05,120,327,-117,1,True,-20,275,89,94,,17846,,58494,211,2721,0.005026888646467748,17.8,0,31,196,227,17.08381935344582,651,2015-09-04,2018-08-15,12,https://github.com/apache/HAWQ
HCatalog,1505300.596588132,3832,170,2011-04-14 07:00:07,-24,48,0,2,True,1,81,4,0,,-1,,-1,593,113,0.10196394942157654,82.51,24,2,0,3,6.897921355752681,156,2011-03-14,2013-02-13,12,https://github.com/apache/HCatalog
Hama,2016328.7287991385,4140,335,2010-08-25 07:00:06,-72,75,0,2,False,1,62,4,0,,-1,,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.131879279736241,170,2008-05-20,2012-05-16,12,https://github.com/apache/Hama
Harmony,1158840.38778382,9574,207,2010-05-26 23:38:08,-30,39,PRs missing,1,False,2,Commits or Issues or PRs missing,2,0,,PRs missing,,PRs missing,61,1389,0.07446035699460357,63.54,0,50,126,349,16.962352511435896,3730,2005-05-18,2006-10-29,12,https://github.com/apache/Harmony
Helix,3662591.475987118,845,1126,2014-01-13 08:00:06,33,218,0,6,False,-1,43,6,1277,,73458,,53611,243,4793,0.008213801124248885,87.88,32,1,8,23,7.687548923061384,401,2012-10-14,2013-12-18,12,https://github.com/apache/Helix
Hop,9956725.067920053,2666,2118,2019-09-24 10:48:12,-69,328,-46,2,False,-4,125,19,1714,,85030,,70831,220,6946,0.00658901795030694,15.65,0,31,88,676,27.65311117984559,594,2020-09-24,2021-12-16,12,https://github.com/apache/Hop
Hudi,954899.7610319076,1722,12817,2016-12-14 15:53:41,-165,2383,195,12,False,37,171,38,1955,,12142,,17986,1659,7516,0.0,67.84,0,9,16,81,25.370530900479945,291,2019-01-17,2020-05-20,12,https://github.com/apache/Hudi
Iceberg,7182701.316714491,1407,13884,2018-11-19 16:26:46,-33,2074,117,4,False,17,140,46,1170,,61360,,2237,856,5085,0.0,120.32,30,2,4,19,56.96438404657017,194,2018-11-16,2020-05-20,12,https://github.com/apache/Iceberg
Ignite,1599548.3711340206,0,11338,2015-02-19 08:00:05,487,1888,205,8,False,13,53,8,2418,,53860,,16696,2280,31388,0.0,82.67,0,17,45,113,9.115681876327548,458,2014-10-01,2015-09-18,12,https://github.com/apache/Ignite
Impala,6952346.002343155,15109,2713,2016-04-13 07:00:08,22,501,5,16,False,3,482,49,0,,-1,,18866,1308,11388,0.0326004583512139,22.61,0,15,80,151,37.817837945450925,1061,2015-12-03,2017-11-15,12,https://github.com/apache/Impala
inlong,2799853.7865064694,3176,3209,2020-01-03 07:13:14,-666,513,527,8,False,36,140,59,996,,39356,,56535,376,4670,0.0,11.53,0,2,18,71,30.447170894554425,505,2019-11-03,2022-06-15,12,https://github.com/apache/inlong
isis,8495139.0,0,115,2013-07-08 19:37:41,0,19,0,1,True,0,0,0,9,,-1,,47849,2,27,0.0,0.0,0,0,0,0,11.6,31,2010-09-07,2012-10-17,12,https://github.com/silentgrowl/isis
