Geode,3973503.7176498156,48577,5240,2015-04-30 07:00:05,416,684,-109,3,False,-42,488,218,561,,49320,,13785,1810,11482,0.02425738171469228,22.39,0,8,73,179,16.539515379666913,1599,2016-11-16,2024-07-02,12,https://github.com/apache/Geode
Geronimo,5353122.073008941,1937,90,2009-07-01 08:09:43,370,22,1,4,True,-11,167,61,0,,-1,,6186,1082,15550,0.002156340654169422,25.16,0,4,10,60,19.08079888683134,350,2004-05-26,2023-07-25,12,https://github.com/apache/Geronimo
Giraph,1298573.5597413937,6396,1533,2011-08-28 07:00:33,54,299,2,4,True,-5,261,54,0,,-1,,39915,9,1165,0.020250723240115717,18.25,42,0,2,19,7.487871757013289,179,2012-05-16,2023-04-14,12,https://github.com/apache/Giraph
Gobblin,1098363.107780876,797,5162,2014-12-01 18:10:50,-15,746,-48,10,False,-7,125,46,346,,1097,,72080,325,6119,0.005651288448676231,48.95,41,0,0,14,8.002346366990322,245,2021-01-20,2024-07-13,12,https://github.com/apache/Gobblin
Gora,8514490.679457834,4852,351,2014-05-19 07:00:07,84,119,0,5,False,-7,229,83,146,,64072,,63300,386,1242,0.018000669792364365,32.07,33,0,0,5,15.517833301544917,185,2012-01-15,2024-06-27,12,https://github.com/apache/Gora
Griffin,3495791.242364961,427,2820,2017-02-15 08:00:06,24,588,-16,5,False,-5,143,37,545,,49903,,59963,252,864,0.004185424873382105,25.33,5,0,1,1,19.287151480310435,102,2018-11-21,2024-07-10,12,https://github.com/apache/Griffin
Groovy,11021579.950147426,14977,12146,2015-04-16 07:00:05,-4,1868,-54,5,False,-18,1279,280,10288,,48411,,43412,749,37570,0.034280485229592435,98.22,0,9,26,39,5.842585959885387,340,2015-11-18,2024-07-13,12,https://github.com/apache/Groovy
incubator-Guacamole,3919637.179717367,6684,2,2016-02-11 08:00:06,Commits missing,0,PRs missing,0,Commits missing,Commits missing,Commits or Issues or PRs missing,Commits missing,PRs or commits missing,,PRs missing,,PRs missing,Commits missing,Commits missing,0,0.0,0,0,0,0,NaN,0,2017-11-15,2024-08-15,12,https://github.com/apache/incubator-Guacamole
HAWQ,1500340.8587483051,534,1721,2015-09-05 07:00:05,14,327,-8,1,True,-7,60,23,94,,17846,,58494,211,2721,0.005026888646467748,17.8,0,31,196,227,17.08381935344582,651,2018-08-15,2024-05-16,12,https://github.com/apache/HAWQ
HCatalog,1505300.596588132,161,170,2011-04-14 07:00:07,14,48,1,2,True,-3,29,4,0,,-1,,-1,593,113,0.10196394942157654,82.51,24,2,0,3,6.897921355752681,156,2013-02-13,2023-04-14,12,https://github.com/apache/HCatalog
Hama,2016328.7287991385,3471,335,2010-08-25 07:00:06,123,75,1,2,False,-5,96,25,0,,-1,,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.131879279736241,170,2012-05-16,2020-02-11,12,https://github.com/apache/Hama
Harmony,1158840.38778382,26045,207,2010-05-26 23:38:08,13,39,PRs missing,1,False,-2,Commits or Issues or PRs missing,22,0,,PRs missing,,PRs missing,61,1389,0.07446035699460357,63.54,0,50,126,349,16.962352511435896,3730,2006-10-29,2011-10-30,12,https://github.com/apache/Harmony
Helix,3662591.475987118,5207,1126,2014-01-13 08:00:06,60,218,19,6,False,3,219,91,1277,,73458,,53611,243,4793,0.01582186470246172,87.88,32,1,8,23,7.687548923061384,401,2013-12-18,2024-07-11,12,https://github.com/apache/Helix
Hop,9956725.067920053,4977,2118,2019-09-24 10:48:12,197,328,-172,2,False,-2,245,62,1714,,85030,,70831,220,6946,0.00658901795030694,15.65,0,31,88,676,27.65311117984559,594,2021-12-16,2024-07-15,12,https://github.com/apache/Hop
Hudi,954899.7610319076,19917,12817,2016-12-14 15:53:41,-463,2383,-180,12,False,24,791,420,1955,,12142,,17986,1659,7516,0.0,67.84,0,9,16,81,25.370530900479945,291,2020-05-20,2024-07-15,12,https://github.com/apache/Hudi
Iceberg,7182701.316714491,14498,13884,2018-11-19 16:26:46,-54,2074,-165,4,False,18,928,409,1170,,61360,,2237,856,5085,0.0024820398976351248,120.32,30,2,4,19,56.96438404657017,194,2020-05-20,2024-07-15,12,https://github.com/apache/Iceberg
Ignite,1599548.3711340206,424,11338,2015-02-19 08:00:05,801,1888,-183,8,False,-15,552,430,2418,,53860,,16696,2280,31388,0.0,82.67,0,17,45,113,9.115681876327548,458,2015-09-18,2024-07-15,12,https://github.com/apache/Ignite
Impala,6952346.002343155,25807,2713,2016-04-13 07:00:08,174,501,-1,16,False,-5,660,154,0,,-1,,18866,1308,11388,0.0326004583512139,22.61,0,15,80,151,37.817837945450925,1061,2017-11-15,2024-08-14,12,https://github.com/apache/Impala
inlong,2799853.7865064694,4231,3209,2020-01-03 07:13:14,240,513,-510,8,False,-25,132,79,996,,39356,,56535,376,4670,0.0,11.53,0,2,18,71,30.447170894554425,505,2022-06-15,2024-07-15,12,https://github.com/apache/inlong
iotdb,1025551.7056,2376,9638,2018-11-24 21:29:17,-305,974,PRs missing,15,False,0,Commits or Issues or PRs missing,246,0,,PRs missing,,PRs missing,2719,13733,8.08240823435751e-05,64.14,0,7,32,109,18.0880928436133,669,2020-09-18,2024-07-14,12,https://github.com/apache/iotdb
