commons-numbers,4914210.190698979,1373,196,2016-10-26 07:00:06,18,58,-2,2,False,-1,75,31,1,,-1,,20973,89,1443,0.0014570179698882952,167.27,30,2,3,6,15.487266234376468,245,2016-10-26,2024-08-16,12,https://github.com/apache/commons-numbers
commons-pool,4729404.892267716,861,1315,2013-07-08 07:00:28,-42,293,13,2,False,2,171,42,49,,-1,,54137,160,3215,0.026328273244781784,142.62,5,0,0,1,9.771502879435259,115,2013-07-08,2024-08-21,12,https://github.com/apache/commons-pool
commons-proxy,10414970.92717647,21,73,2013-07-10 07:00:15,100,23,0,2,True,-2,19,7,0,,-1,,76319,35,622,0.006902502157031924,67.93,0,0,0,0,4.460431654676259,73,2013-07-10,2023-10-25,12,https://github.com/apache/commons-proxy
commons-rng,2767386.015379121,1183,144,2016-08-13 07:00:06,185,40,-2,1,False,-3,44,19,31,,-1,,78061,191,1658,0.002350044762757386,150.37,2,0,0,1,11.183261183261184,51,2016-08-13,2024-07-15,12,https://github.com/apache/commons-rng
commons-scxml,8249365.049241526,121,146,2015-07-10 07:00:05,-51,50,15,2,False,0,38,15,2,,-1,,57895,105,1748,0.02878267758119884,75.46,25,0,1,0,4.816704235377862,100,2015-07-10,2024-08-21,12,https://github.com/apache/commons-scxml
commons-statistics,14976923.443647888,447,126,2018-01-03 08:00:08,33,26,1,1,False,-1,45,17,14,,-1,,4896,54,846,0.001715686274509804,147.52,14,0,0,1,13.623271889400922,122,2018-01-03,2024-08-20,12,https://github.com/apache/commons-statistics
commons-text,3994697.313818182,1120,903,2014-11-10 08:00:07,-71,237,17,2,False,1,191,72,120,,12,,62978,106,2123,0.018329405603561142,143.35,11,0,2,4,17.885317320146,125,2014-11-10,2024-08-18,12,https://github.com/apache/commons-text
commons-validator,14933400.084534336,824,550,2010-09-26 07:00:19,-84,150,14,3,False,3,235,33,0,,-1,,84155,179,4190,0.029895520844108823,108.5,7,0,1,0,5.039096437880104,82,2010-09-26,2024-08-21,12,https://github.com/apache/commons-validator
commons-vfs,9489511.753998652,1880,663,2013-07-13 07:00:13,-66,201,17,4,False,3,293,50,1,,-1,,27551,181,4065,0.04102926178708716,73.91,20,0,0,1,12.570166009793384,111,2013-07-13,2024-08-21,12,https://github.com/apache/commons-vfs
commons-weaver,3391127.890571428,61,55,2013-10-25 07:00:33,21,15,1,1,False,0,19,11,0,,-1,,30486,167,894,0.005279034690799397,26.75,5,0,0,0,3.047172575446821,86,2013-10-25,2024-05-16,12,https://github.com/apache/commons-weaver
comdev-site,19209329.054299593,472,411,2018-04-21 10:02:14,-29,103,2,4,False,8,164,31,328,,41496,,70382,448,795,0.003204962522615663,0.0,0,0,0,0,0.0,18,2018-04-21,2024-07-29,12,https://github.com/apache/comdev-site
directory-server,8202400.428234835,5136,386,2009-05-21 02:25:07,199,92,20,2,False,-2,513,30,1,,-1,,13638,196,13643,0.01932314559037653,91.27,39,1,9,39,13.865893279979442,234,2009-05-21,2024-08-22,12,https://github.com/apache/directory-server
directory-studio,7875271.542539563,3713,289,2009-05-20 01:52:19,-15,51,16,2,False,1,457,18,0,,-1,,5576,200,6010,0.001124291258674556,8.96,0,11,12,98,21.684897849281413,328,2009-05-20,2024-07-15,12,https://github.com/apache/directory-studio
xmlgraphics-fop,11135565.767717334,10008,473,2009-05-21 00:26:43,74,129,0,3,False,-5,816,19,0,,-1,,51218,254,10566,0.01330982894025034,59.68,0,3,21,58,8.79965908079022,390,2009-05-21,2024-08-21,12,https://github.com/apache/xmlgraphics-fop
