project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
db-jdo,4307390.764389097,3876,67,7,119,11,0,2,0,-5,68,16,135,83781,195,1953,0.003848382773733203,3.79,0,50,33,140,38.77619027783563,464,2005-12-09,2024-08-06,https://github.com/apache/db-jdo,evolved
jspwiki,7615634.967521353,1591,311,16,106,101,16,1,0,-3,119,21,0,60326,557,9688,0.005745796699059077,23.44,41,0,7,5,9.957978219696969,124,2013-07-19,2024-07-31,https://github.com/apache/jspwiki,evolved
jackrabbit,2778169.5282328557,19809,867,16,527,209,0,3,0,-5,1017,47,36,70436,963,13975,0.0364752969390566,50.12,0,22,14,65,11.431264648935086,619,2006-03-15,2024-08-19,https://github.com/apache/jackrabbit,evolved
jena,341916.33904109587,1797,2793,12,117,643,25,1,0,6,194,129,53,47339,1284,23808,0.0002733704625384834,41.89,0,50,89,95,40.87455518247414,2861,2012-04-18,2024-07-15,https://github.com/apache/jena,evolved
johnzon,3183048.971077252,906,164,11,22,66,0,2,0,-2,125,35,19,85094,88,1010,0.06727648273827087,111.2,27,6,2,12,8.763954425135228,230,2016-04-20,2024-08-04,https://github.com/apache/johnzon,evolved
joshua,5767237.8681283165,23,271,9,1,63,0,3,1,-1,16,8,52,79127,242,4139,0.0007553578025152863,11.1,25,5,8,22,20.812156280136577,429,2018-10-17,2021-11-13,https://github.com/apache/joshua,evolved
juneau,212245.0,6,195,9,73,39,4,1,0,2,23,16,1073,52534,362,3063,0.0,63.65,0,13,11,35,24.50511147322962,403,2017-10-18,2024-07-12,https://github.com/apache/juneau,evolved
kafka,4881563.368126714,75326,69559,14,-710,13689,7,20,0,119,6980,1286,3815,15538,314,19503,0.04011426610273855,150.76,3,5,40,82,7.793045814689051,354,2012-10-23,2024-08-14,https://github.com/apache/kafka,evolved
knox,3863104.6460014815,11121,616,11,72,248,4,4,0,1,434,96,541,54137,90,3234,0.05832117414814179,76.17,45,1,6,5,30.68684831792249,345,2014-02-19,2024-08-12,https://github.com/apache/knox,evolved
kudu,9422959.918027366,7074,4300,9,426,648,0,4,0,-16,490,164,0,40773,1807,9815,0.021403022288503885,22.52,0,5,60,91,8.128009354794331,330,2016-07-20,2024-08-13,https://github.com/apache/kudu,evolved
kylin,3423467.6758924467,25416,8779,10,569,1533,-10,2,0,-1,1252,360,3418,78576,1324,11325,0.00557244842751764,48.76,28,1,30,10,9.744745577412123,374,2015-11-18,2024-08-09,https://github.com/apache/kylin,evolved
kyuubi,994922.4987190436,2669,4912,8,153,884,-261,5,0,-7,201,86,1445,69559,983,4202,0.0,52.24,25,6,8,29,26.109845054584174,429,2022-12-22,2024-07-15,https://github.com/apache/kyuubi,evolved
Lens,1869857.867993928,5481,219,11,105,101,-3,3,0,-24,104,55,0,35949,100,2370,0.03259259259259259,69.67,36,3,4,12,4.54013573601685,185,2015-08-19,2020-06-15,https://github.com/apache/Lens,evolved
Libcloud,6767726.1931034485,576,4980,16,-20,928,0,3,0,5,644,480,2887,25957,496,9984,0.00041395297494204657,90.82,45,0,16,2,31.055776143893183,154,2011-05-19,2024-07-15,https://github.com/apache/Libcloud,evolved
linkis,1045868.835408771,1322,7689,6,190,1151,-148,8,0,-29,74,53,1062,61331,720,3524,0.0,8.55,2,1,13,61,35.37389338858542,225,2022-12-22,2024-07-16,https://github.com/apache/linkis,evolved
logging-log4php,9917073.167291261,638,285,13,21,83,0,2,1,-3,130,18,5,83148,3,1044,0.02599388379204893,77.06,9,0,0,1,1.3215859030837005,85,2010-03-07,2020-12-18,https://github.com/apache/logging-log4php,evolved
Lucene.NET,7368051.2342243,689,4992,16,83,628,9,1,0,-3,206,88,4898,5107,707,7769,0.00239290333240276,55.12,0,32,40,195,14.81554623472187,1929,2012-08-15,2024-06-25,https://github.com/apache/Lucene.NET,evolved
Lucy,3056614.7383840824,382,224,14,213,26,0,2,0,-4,34,11,0,48161,24,3417,0.006492266564827191,19.95,14,14,8,25,9.83782815159932,512,2012-02-22,2018-03-15,https://github.com/apache/Lucy,evolved
MADlib,4570672.762391403,1421,1057,10,30,147,-37,5,0,-8,103,32,0,8585,405,2684,0.03138737887024344,0.67,0,18,19,32,29.24762463969254,510,2017-07-19,2024-05-11,https://github.com/apache/MADlib,evolved
MRUnit,1853120.4706450012,674,103,14,34,27,0,2,1,-5,68,13,0,-1,53,282,0.06936416184971098,148.58,1,0,0,0,21.800327332242222,90,2012-05-16,2016-05-12,https://github.com/apache/MRUnit,evolved
MXNet,1734615.1247053542,191,48272,10,1,6808,4,17,0,-2,27,5,2192,53462,3462,9542,0.0,19.19,0,16,40,165,24.58314163425209,555,2022-09-21,2023-11-12,https://github.com/apache/MXNet,evolved
ManifoldCF,1536761.0113331343,9366,217,13,141,65,0,1,0,1,256,20,163,72076,1885,4653,0.005520859963721802,7.94,0,42,48,217,35.270220684594015,817,2012-05-16,2024-07-08,https://github.com/apache/ManifoldCF,evolved
Marmotta,3973982.483487847,1901,159,11,301,53,-1,2,0,-6,105,26,0,47530,220,2211,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2013-11-20,2021-02-23,https://github.com/apache/Marmotta,evolved
Mesos,5316112.854583107,38857,12109,12,289,1675,-3,11,0,-4,1717,440,982,75391,2617,19484,0.011673345387417149,79.51,0,17,28,94,23.685758558351747,591,2013-06-19,2024-07-11,https://github.com/apache/Mesos,evolved
MetaModel,4544793.764252634,1437,461,12,-4,151,-1,2,0,0,138,39,534,54290,285,668,0.0260387811634349,58.67,40,0,0,2,5.719104007038897,119,2014-11-20,2021-06-23,https://github.com/apache/MetaModel,evolved
Metron,1507542.85586738,11230,2198,10,92,512,-110,4,0,-14,156,54,0,70919,654,1014,0.00884475054318862,55.02,44,2,2,11,16.622195269860523,243,2017-04-19,2020-08-08,https://github.com/apache/Metron,evolved
Mnemonic,4917420.888888889,34,297,9,12,63,1,1,0,-4,30,26,96,77179,117,675,0.0003097893432465923,32.73,14,0,1,4,32.5463073376262,152,2017-11-15,2024-07-12,https://github.com/apache/Mnemonic,evolved
